Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_CO-PO Mapping""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:05,2021-03-08 18:18:06,0.967s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:06,2021-03-08 18:18:07,1.053s,PASSED
"focus(findTestObject(""Faculty/Allocated Courses/CO-PO-Close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:07,2021-03-08 18:18:08,0.502s,PASSED
"click(findTestObject(""Faculty/Allocated Courses/CO-PO-Close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:08,2021-03-08 18:18:09,0.840s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_Extra Class""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:09,2021-03-08 18:18:10,0.967s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:10,2021-03-08 18:18:11,0.867s,PASSED
"focus(findTestObject(""Faculty/Allocated Courses/Extra-class-Close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:11,2021-03-08 18:18:11,0.492s,PASSED
"click(findTestObject(""Faculty/Allocated Courses/Extra-class-Close""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:11,2021-03-08 18:18:12,0.826s,PASSED
"click(findTestObject(""Faculty/Allocated Courses/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:12,2021-03-08 18:18:13,0.971s,PASSED
"click(findTestObject(""Object Repository/Faculty/Allocated Courses/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:13,2021-03-08 18:18:14,0.982s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Course Coordinator Allocation,Chrome 87.0.4280.141,Course Coordinator Allocation,Course Coordinator Allocation,2021-03-08 18:18:14,2021-03-08 18:18:36,21.900s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:18:14,2021-03-08 18:18:16,1.961s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:18:16,2021-03-08 18:18:17,1.127s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:18:17,2021-03-08 18:18:19,1.578s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:18:19,2021-03-08 18:18:20,1.293s,PASSED
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:20,2021-03-08 18:18:21,0.816s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:21,2021-03-08 18:18:22,1.303s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:22,2021-03-08 18:18:23,0.960s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:23,2021-03-08 18:18:24,0.951s,PASSED
"click(findTestObject(""Object Repository/Faculty/Profile/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:24,2021-03-08 18:18:25,0.951s,PASSED
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/img""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:25,2021-03-08 18:18:26,1.117s,PASSED
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/button_Others""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:26,2021-03-08 18:18:28,1.217s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:28,2021-03-08 18:18:29,1.286s,PASSED
